Feature,Frequency,Type
BPS,27,Sequence
MPS,1,Sequence
NNB,23,Sequence
DDE,32,Sequence
QSOrder,2,Sequence
CTDC,3,Sequence
CTriad,1,Sequence
PAAC,1,Sequence
APAAC,4,Sequence
CTDD,1,Sequence
Geary,1,Sequence
KSCTriad,2,Sequence
GTPC,1,Sequence
GDPC,1,Sequence
GAAC,1,Sequence
Moran,2,Sequence
SOCNumber,6,Sequence
nGAAGP,9,Sequence
Dubchak,14,Sequence
occ-SS,1,SPD
comp-SS,1,SPD
ASA,3,SPD
bi-TA,2,SPD
bi-SP,4,SPD
aCov-SP,13,SPD
aCov-TA,2,SPD
HSE,1,SPD
1-bi-PSSM,16,PSSM
bi-PSSM,5,PSSM
aCov-PSSM,22,PSSM
segD-PSSM,24,PSSM
L-Pse-PSSM,226,PSSM
