Classifier,ACC(%),SN(%),SP(%),MCC
DT,84.2667191962967,85.5320813771518,83.0013570154415,0.687356549526772
LR,88.3453166551758,89.7476525821596,86.942980728192,0.768162888947073
RFC,90.0300403821531,88.7636932707355,91.2963874935706,0.802482967140496
SVC(kernel = rbf),91.0125086181424,90.4518779342723,91.5731393020126,0.821327147411727
"SVC(kernel = rbf, tuned)",91.9969467152566,91.7155712050078,92.2783222255053,0.8412347127164
SVC(kernel = linear),86.0272825765784,87.6408450704225,84.4137200827342,0.722436310618888
SVC(kernel = poly),89.4666601004629,93.683489827856,85.2498303730698,0.793549379200975
SVC(kernel = sigmoid),88.8358120752487,89.6068075117371,88.0648166387603,0.778225071803564
EXT,90.8007485472274,90.3110328638498,91.2904642306051,0.816767472831991
GNB,88.764404609475,89.745696400626,87.7831128183241,0.777093226707205
ADB,87.2200334876391,88.6169796557121,85.8230873195662,0.746258998845987
LDA,87.3598936274993,89.3270735524257,85.3927137025729,0.74846051932893
KNN,89.3962375652517,91.0093896713615,87.7830854591418,0.789512178947432
BG,89.2539150989855,86.9327073552426,91.5751228427285,0.787311416943472
BGsvmrbf,91.0814537575101,90.7296557120501,91.4332518029701,0.822641474661404
