Classifier,ACC(%),SE(%),SP(%),MCC
DT,80.3370786516854,84.2696629213483,76.4044943820225,0.608627003400517
LR,85.9550561797753,86.5168539325843,85.3932584269663,0.719146519960792
RFC,88.4831460674157,87.6404494382023,89.3258426966292,0.769772257959401
SVC(kernel = rbf),90.4494382022472,87.6404494382023,93.2584269662921,0.810268445891419
"SVC(kernel = rbf, tuned)",92.1348314606742,89.3258426966292,94.9438202247191,0.844029631136894
SVC(kernel = linear),83.7078651685393,88.2022471910112,79.2134831460674,0.676897443422413
SVC(kernel = poly),88.4831460674157,92.6966292134832,84.2696629213483,0.772410396110583
SVC(kernel = sigmoid),87.6404494382023,87.0786516853933,88.2022471910112,0.752856513083954
EXT,88.7640449438202,88.7640449438202,88.7640449438202,0.775280898876405
GNB,86.2359550561798,86.5168539325843,85.9550561797753,0.724730538067425
ADB,86.2359550561798,86.5168539325843,85.9550561797753,0.724730538067425
LDA,87.3595505617977,83.7078651685393,91.0112359550562,0.74919174810218
KNN,87.9213483146068,89.3258426966292,86.5168539325843,0.758726358763311
BG,87.3595505617977,85.9550561797753,88.7640449438202,0.747485968263114
BGsvmrbf,90.1685393258427,87.6404494382023,92.6966292134832,0.804399666539844
